consecutivo,entidad_federativa_solicitante,instancia_publica_orden_federal_solicitante,nombre_proyecto,anio_autorizacion,instancia_ejecutora,tipo_proyecto,tipo_fenomeno_01,tipo_fenomeno_2,tipo_fenomeno_3,estatus,personas_beneficiadas,mujeres,hombres,poblacion_indigena,anio_finalizacion,proyecto_estrategico,recurso_fondo_preventivo_federal,recurso_coparticipacion_estatal,costo_total_mxn_peso,pagina_web_instancia_autorizada,ultima_fecha_actualizacion
1,sin dato,Comision Nacional del Agua,Sistema de Alertamiento a tiempo real para la proteccion a centros de poblacion con alto grado de riesgo en la cuenca del Rio San Fernando y ampliacion al sistema de alertamiento a tiempo real en la cuenca baja del Rio Panuco.,2013,Organismo de Cuenca Golfo Norte,Proyecto Preventivo,"Hidrometeorologico (ciclon tropical, lluvias extremas, inundaciones, bajas temperaturas, mareas de tormenta, sequias, vientos fuertes)",sin dato,sin dato,Finalizado,"616,096",SD,SD,SD,sin dato,sin dato,9320624.4,5018809.6,14339434.0,Libro blanco: http://dggr.cenapred.unam.mx/portal/datosp Proyecto: http://www.conagua.gob.mx/satrmovil/,2020
2,Quintana Roo,sin dato,"Atlas Estatal de Riesgo del Estado de Quintana Roo, Fase I: Peligro, Vulnerabilidad y Riesgo",2013,Secretaria de Finanzas y Planeacion de Quintana Roo,Proyecto Preventivo,"Geologico (tsunamis, Karstificacion y Cavidades)","hidrometeorologico (ciclon tropical, lluvias extremas e inundacion)","Incendios forestales, riesgos quimicos-tecnologicos",Finalizado,5000,SD,SD,SD,2021.0,sin dato,47962285.31,11990571.33,59952856.64,http://www.sefiplan.qroo.gob.mx/site/pagina.php?id=216,2021
3,sin dato,Universidad Autonoma de Mexico,Desarrollo de herramientas para simulacion de procesos volcanicos,2013,Instituto de Geofisica,Proyecto Preventivo Estrategico,Geologico (vulcanismo),sin dato,sin dato,Finalizado,0,SD,SD,SD,2021.0,SI,5102522.6,0.0,5102522.6,Libro blanco: http://dggr.cenapred.unam.mx/portal/datosp,2021
4,sin dato,Universidad Autonoma de Mexico,Desarrollo de una red de monitoreo de gases del volcan Popocatepetl,2013,Instituto de Geofisica,Proyecto Preventivo Estrategico,Geologico (vulcanismo),sin dato,sin dato,Finalizado,0,SD,SD,SD,2022.0,SI,20591100.0,0.0,20591100.0,Libro blanco: http://dggr.cenapred.unam.mx/portal/datosp,2022
5,sin dato,Universidad Autonoma de Mexico,Estudios geologicos y actualizacion del mapa de peligros del volcan Popocatepetl,2013,Instituto de Geofisica,Proyecto Preventivo Estrategico,Geologico (vulcanismo),sin dato,sin dato,Finalizado,0,SD,SD,SD,2021.0,SI,7431162.2,0.0,7431162.2,Libro blanco: http://dggr.cenapred.unam.mx/portal/datosp,2021
6,Chiapas,sin dato,Sistema de Multi Alerta y Comunicacion Masiva para el Estado de Chiapas,2014,Subsecretaria de Proteccion Civil en Chiapas,Proyecto Preventivo,"Geologico (sismo, inestabilidad de laderas)","Hidrometeorologico (ciclon tropical, lluvias extremas, inundacion y bajas temperaturas)",Incendios forestales,En ejecucion,"2,000,000",SD,SD,SD,sin dato,sin dato,23994867.75,7305507.61,31300375.36,https://proteccioncivil.chiapas.gob.mx/sistema-multi-alerta-comunicacion-masiva-para-el-estado-de-chiapas,2025
7,Sinaloa,sin dato,"Atlas de Riesgos, Nivel de Peligros y Levantamiento LIDAR del Estado de Sinaloa. Primera Etapa.",2014,Instituto Estatal de Proteccion Civil en Sinaloa,Proyecto Preventivo,"Geologico (sismo, inestabilidad de laderas y tsunamis)","Hidrometeorologico (ciclon tropical, tormentas severas, inundaciones, vientos, temperaturas extremas)",Riesgo quimico-tecnologicos,Desistimiento,0,SD,SD,SD,sin dato,sin dato,0.0,13151913.42,0.0,No aplica,2017
8,Ciudad de Mexico,sin dato,Desarrollo del Sistema integrador del Atlas de Peligros y Riesgo de la Ciudad de Mexico,2015,Secretaria de Gestion Integral de Riesgos y Proteccion Civil,Proyecto Preventivo,"Geologico (sismo, vulcanismo, hundimiento, subsidencia, agrietamiento, inestabilidad de laderas y licuacion de arenas)","Hidrometeorologico (lluvias extremas, nevada, granizada atipica, inundacion, tornado, sequia, bajas temperaturas, vientos fuertes y erosion)",Quimico-tecnologicos,Finalizado,"8,000,000",SD,SD,SD,2021.0,sin dato,19435000.0,10465000.0,29900000.0,https://www.proteccioncivil.cdmx.gob.mx/programas/programa/proyecto-fopreden,2021
9,sin dato,Coordinacion Nacional de Proteccion Civil,"Elaboracion de escenarios de peligros por inundaciones y deslizamiento de laderas, mediante informacion obtenida por vehiculos aereos no tripulados-drones (VANT)",2015,Centro Nacional de Prevencion de Desastres,Proyecto Preventivo Estrategico,Geologico (deslizamiento de laderas),hidrometeorologico (inundacion),sin dato,Finalizado,"1,110,705","582,593","528,112",SD,2025.0,SI,3587180.14,0.0,1328780.0,https://www.cenapred.unam.mx/es/ProyectosFopredenCenapred/,2025
10,sin dato,Coordinacion Nacional de Proteccion Civil,Desarrollo de modulos para el calculo y analisis de vulnerabilidad y riesgos en el Atlas Nacional de Riesgos.,2015,Centro Nacional de Prevencion de Desastres,Proyecto Preventivo Estrategico,"Geologico (sismo, vulcanismo, hundimiento, subsidencia, agrietamiento, inestabilidad de laderas y licuacion de arenas)","hidrometeorologico (ciclon tropical, lluvias extremas, nevada, granizada atipica, inundacion, tornado, sequia, bajas temperaturas, altas temperaturas, vientos fuertes y erosion)",sin dato,Finalizado,"126,014,024","64,540,634","61,473,390",SD,2025.0,SI,1988450.0,0.0,0.0,https://www.cenapred.unam.mx/es/ProyectosFopredenCenapred/,2025
11,sin dato,Centro Nacional de Prevencion de Desastres,Implementacion de una nueva red de estaciones sismicas de banda ancha para registro de actividad sismica y estudio del volcan Citlaltepetl.,2018,Centro Nacional de Prevencion de Desastres,Subcuenta de Investigacion para la Prevencion,sin dato,sin dato,sin dato,Cancelado,0,SD,SD,SD,sin dato,sin dato,0.0,0.0,0.0,https://www.cenapred.unam.mx/es/ProyectosFopredenCenapred/,2020
12,sin dato,Centro Nacional de Prevencion de Desastres,Adecuaciones para la integracion de la red de observacion sismica del CENAPRED (estaciones Ciudad de Mexico) al modelo de estimacion de intensidades sismicas de la UNAM.,2018,Centro Nacional de Prevencion de Desastres,Subcuenta de Investigacion para la Prevencion,sin dato,sin dato,sin dato,Cancelado,0,SD,SD,SD,sin dato,sin dato,0.0,0.0,0.0,https://www.cenapred.unam.mx/es/ProyectosFopredenCenapred/,2020
13,sin dato,Centro Nacional de Prevencion de Desastres,Analisis de riesgos por manejo de sustancias peligrosas en vias ferreas.,2018,Centro Nacional de Prevencion de Desastres,Subcuenta de Investigacion para la Prevencion,sin dato,sin dato,sin dato,Cancelado,0,SD,SD,SD,sin dato,sin dato,0.0,0.0,0.0,https://www.cenapred.unam.mx/es/ProyectosFopredenCenapred/,2020
14,sin dato,Centro Nacional de Prevencion de Desastres,Desarrollo de un modelo abierto para el calculo probabilistico del Riesgo en Mexico.,2018,Centro Nacional de Prevencion de Desastres,Subcuenta de Investigacion para la Prevencion,sin dato,sin dato,sin dato,Cancelado,0,SD,SD,SD,sin dato,sin dato,0.0,0.0,0.0,https://www.cenapred.unam.mx/es/ProyectosFopredenCenapred/,2020
15,sin dato,Centro Nacional de Prevencion de Desastres,Geovisualizacion del Riesgo (Realidad Virtual).,2018,Centro Nacional de Prevencion de Desastres,Subcuenta de Investigacion para la Prevencion,sin dato,sin dato,sin dato,Cancelado,0,SD,SD,SD,sin dato,sin dato,0.0,0.0,0.0,https://www.cenapred.unam.mx/es/ProyectosFopredenCenapred/,2020
16,sin dato,Centro Nacional de Prevencion de Desastres,Modelos Estrategicos de contenidos para el fortalecimiento de la formacion y resiliencia en municipios de media y alta marginacion que presentan frecuencia de fenomenos hidrometeorologicos.,2018,Centro Nacional de Prevencion de Desastres,Subcuenta de Investigacion para la Prevencion,sin dato,sin dato,sin dato,Cancelado,0,SD,SD,SD,sin dato,sin dato,0.0,0.0,0.0,https://www.cenapred.unam.mx/es/ProyectosFopredenCenapred/,2020
17,sin dato,Centro Nacional de Prevencion de Desastres,"Estudio Paleosismologico y de Sismologia Observacional del sismo de Ameca de 1567/68, en la zona occidental de la Faja Volcanica Trans-Mexicana y sus repercusiones para la determinacion del riesgo sismico de la region Jalisco-Colima..",2018,Centro Nacional de Prevencion de Desastres,Subcuenta de Investigacion para la Prevencion,sin dato,sin dato,sin dato,Cancelado,0,SD,SD,SD,sin dato,sin dato,0.0,0.0,0.0,https://www.cenapred.unam.mx/es/ProyectosFopredenCenapred/,2020
18,sin dato,Centro Nacional de Prevencion de Desastres,Vulnerabilidad de estructuras de puentes en zonas de gran influencia de ciclones tropicales – Golfo de Mexico,2018,Centro Nacional de Prevencion de Desastres,Subcuenta de Investigacion para la Prevencion,sin dato,sin dato,sin dato,Cancelado,0,SD,SD,SD,sin dato,sin dato,0.0,0.0,0.0,https://www.cenapred.unam.mx/es/ProyectosFopredenCenapred/,2020
